SampleID,Condition,Expression
5caf3127-967f-4d07-b49d-7126728e2048,Primary Tumor,7.5163256587374345
78d70b30-8812-4802-bca7-f1b8135b9cbd,Primary Tumor,8.186838253598216
ea47f0f6-aad1-4149-afb6-2026f64935f5,Primary Tumor,6.513024826407031
8be349eb-2407-4f51-809a-ceb5542e0cf1,Primary Tumor,7.2799773016426075
b7b898c7-f63f-43d3-864a-406e842db2fe,Primary Tumor,2.2909846222636348
89bf9c33-c1b4-4786-821f-802cf36eed43,Primary Tumor,7.356525038509221
0344d3bb-8bb2-459e-bc1f-ba31c7470d08,Primary Tumor,7.278743078344484
d00354a6-0cdd-42c0-8d0c-1f87f4fdc843,Primary Tumor,7.188014125716946
e173308d-ac80-4c15-9b0e-e5cb09321a56,Primary Tumor,7.629463725281062
9ee64463-e09f-4983-b83d-a6a5481cab9a,Primary Tumor,7.758816163799302
306febc7-f9b2-493a-9520-b9700d0f3e47,Primary Tumor,8.579383073198905
d1a18468-9c02-4d61-8e3e-43a6d23d402e,Primary Tumor,6.898950796207946
b0eade9b-2ce4-4ffd-9db3-56958b452af6,Primary Tumor,3.089532048350667
fe20855f-d3ce-4e02-b2dd-3df15eab44bf,Primary Tumor,5.880249614678514
38259364-ebcb-4f5f-8471-8ffe7e3267a7,Primary Tumor,6.812794691804863
ba3e1d1e-3193-4770-9c57-b4ff1502af38,Primary Tumor,3.582929273137852
18be89fe-3383-45a2-9c0e-b1246e88c82d,Primary Tumor,6.623866861852698
c96036a1-2f21-47fc-a5ea-54389bf26502,Primary Tumor,7.096687749610123
055fcce9-7448-4a16-ad18-d235dac7ce97,Primary Tumor,5.567295972225942
6508912f-5f91-43e6-8e63-9233bf3e81eb,Primary Tumor,8.346571794378345
a912206f-60e9-4564-9d84-db9c3ee75343,Primary Tumor,6.632758241370576
c69e8ef1-57a7-439a-9b05-66f14b019322,Primary Tumor,5.953174427398576
75473987-65e2-43eb-a5bb-04cb7a40c902,Solid Tissue Normal,6.917642988289328
895ca581-915e-4057-b66a-dc2d5213d7e4,Primary Tumor,5.728004836145022
d86a1079-2f10-4c42-9b6a-14498715c4ad,Primary Tumor,6.184101732003053
f6582ef5-5f6d-41d7-850a-614257c9e3b2,Primary Tumor,6.854597891533979
0869efb9-b167-45af-8b2c-67433e39baad,Primary Tumor,7.841873137903782
cc481383-4ebf-410c-8dd7-ef0b117bd035,Primary Tumor,4.955972988547332
deddc259-f962-468a-bfcf-60da1e695833,Primary Tumor,6.2320332782283705
b5b3c685-304f-4279-904a-c86c18f61576,Primary Tumor,8.077257421537391
55bbaa27-e618-48d6-bac3-80e9cfbcdf2c,Primary Tumor,7.294702529923104
968c4aa2-2bcd-4823-b7fa-fbedc41ddb25,Primary Tumor,8.095761474843881
7671d2c4-d6da-46d5-8ef0-baab496456d2,Solid Tissue Normal,6.79334839708998
5a7bd024-3d92-4e64-86bd-b6eea34f6526,Primary Tumor,6.763966554720058
a412b415-0692-4adf-8447-067ad69913d7,Primary Tumor,6.8572880863962755
46a5c6c0-f460-4036-b3e6-eea9ec82ea14,Primary Tumor,6.5069715936854005
